code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,total_score,selection_bucket,valuation_state,selection_mode,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,current_valuation,low_avg,pepb_ratio,valuation_percentile,earnings_yoy,buy_close_raw,end_close_raw,raw_return,qfq_return
sh.601019,山东出版,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,9.85,98.1,98.1,71.6,28.1,48.5,78.2,54.2,66.2,78.2,低估价值,深度低估,低估价值,"价值线=17.49, 现价/价值=0.56, 市值=205.1亿",-0.011044176706827447,-0.09132841328413288,205.0737704918033,17.485898803149606,0.5633110491423976,,,,,,9.85,7.49,-0.23959390862944152,-0.21126981910325882
sh.601877,正泰电器,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,22.3,95.2,95.2,66.4,52.2,55.1,78.2,61.2,69.7,78.2,低估价值,深度低估,低估价值,"价值线=38.19, 现价/价值=0.58, 市值=477.3亿",-0.06420478388585804,0.031452358926919555,477.29392265193366,38.18845631388746,0.5839460966085313,,,,,,22.3,34.6,0.5515695067264574,0.5939035859698156
sh.601811,新华文轩,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,15.26,97.2,97.2,72.8,35.3,40.9,78.0,56.1,67.1,78.0,低估价值,深度低估,低估价值,"价值线=26.78, 现价/价值=0.57, 市值=188.6亿",-0.01293661060802076,0.05386740331491713,188.6136,26.78176051779935,0.5697907719643036,,,,,,15.26,13.61,-0.10812581913499342,-0.07167997495159306
sh.688187,时代电气,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,46.2,85.0,68.0,88.1,34.0,56.4,78.0,64.2,71.1,78.0,低估价值,深度低估,低估价值,"价值线=59.70, 现价/价值=0.77, 市值=653.0亿",-0.01492537313432829,0.029641185647426127,652.9717557251909,59.703018698352686,0.7738302184253666,,,,,,46.2,59.29,0.2833333333333332,0.3233651284695367
sh.600968,海油发展,B11开采专业及辅助性活动,B11开采专业及辅助性活动,VALUE,基本价值线,3.94,100.0,100.0,57.8,57.3,48.7,77.9,58.4,68.1,77.9,低估价值,深度低估,低估价值,"价值线=7.44, 现价/价值=0.53, 市值=400.5亿",0.0025445292620864812,-0.0174563591022443,400.4626077286628,7.4409405262582045,0.5295029554525,,,,,,3.94,4.19,0.06345177664974622,0.09708851037793376
sh.600690,海尔智家,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,25.12,85.0,75.3,79.9,27.6,83.1,77.5,62.3,69.9,77.5,低估价值,深度低估,低估价值,"价值线=34.75, 现价/价值=0.72, 市值=2329.3亿",-0.07031828275351582,-0.05599398722284854,2329.320396039604,34.74871240723934,0.7229044836425839,,,,,,25.12,21.08,-0.16082802547770714,-0.12157287407434114
sh.601928,凤凰传媒,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,11.6,91.8,91.8,68.6,55.8,54.5,77.5,63.2,70.3,77.5,低估价值,深度低估,低估价值,"价值线=19.10, 现价/价值=0.61, 市值=294.2亿",0.028368794326241176,0.03294746215494215,294.2349206349206,19.098372703379226,0.6073815911000375,,,,,,11.6,9.44,-0.18620689655172418,-0.1422244555078913
sz.002202,金风科技,C34通用设备制造业,资源金属,VALUE,基本价值线,8.84,97.4,97.4,65.0,31.4,61.8,77.5,54.4,66.0,77.5,低估价值,深度低估,低估价值,"价值线=15.56, 现价/价值=0.57, 市值=390.9亿",-0.01118568232662187,-0.02535832414553474,390.9272467902997,15.557240760322578,0.5682241559535203,,,,,,8.84,27.8,2.1447963800904977,2.1884753032699935
sz.002244,滨江集团,K70房地产业,K70房地产业,PB,PB低估,10.18,100.0,100.0,73.4,62.6,64.5,0.0,0.0,0.0,77.5,财报后主线候选,价值线附近/业绩强,财报后主线候选,"Q1价值线=20.73, 现价/价值=0.49, 扣非同比=48.0%, 市值=316.1亿",0.002955665024630516,0.18786464410735104,316.07658536585365,20.733846268656713,0.4909846377798736,,,,,0.48009999999999997,10.18,11.23,0.10314341846758368,0.11237501874817468
sh.601628,中国人寿,J68保险业,金融,PE,PE低估,36.8,100.0,100.0,51.0,29.0,66.2,77.3,48.0,62.7,77.3,低估价值,价值线内/历史低位,低估价值,"PE=9.04, 低估均值=15.96, 比值=0.57, 分位=0%",-0.016042780748663166,-0.06835443037974687,,,,9.037397,15.96024727272727,0.5662441718834159,0.0008163265306122449,,36.8,36.48,-0.008695652173913104,0.008196683254007686
sh.600584,长电科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,34.32,46.0,46.0,76.6,27.1,81.5,0.0,0.0,0.0,76.9,财报后主线候选,价值线附近/业绩强,财报后主线候选,"Q1价值线=31.05, 现价/价值=1.11, 扣非同比=79.3%, 市值=613.9亿",-0.025830258302582898,-0.13311442283404906,613.9466666666667,31.052113788819874,1.1052387683944631,,,,,0.7926000000000001,34.32,57.49,0.6751165501165501,0.6826108990609678
sh.600362,江西铜业,C32有色金属冶炼和压延加工业,资源金属,PB,PB低估,21.79,100.0,100.0,85.0,53.1,68.8,0.0,0.0,0.0,76.7,财报后主线候选,价值线附近/业绩强,财报后主线候选,"Q1价值线=55.90, 现价/价值=0.39, 扣非同比=37.1%, 市值=754.7亿",-0.04680664916885391,0.03712517848643482,754.7362189054727,55.896951157713296,0.38982448145551796,,,,,0.37079999999999996,21.79,50.06,1.2973841211564938,1.3908919035024758
sh.603259,药明康德,M73研究和试验发展,医药医疗,VALUE,基本价值线,60.34,75.0,37.9,79.3,53.9,98.4,76.5,73.0,74.8,76.5,低估价值,价值线内/历史低位,低估价值,"价值线=61.27, 现价/价值=0.98, 市值=1738.5亿",-0.08644965934897797,0.07769244507947848,1738.454268292683,61.27410878306878,0.9847552448885737,,,,,,60.34,108.92,0.8051044083526682,0.8502808659763468
sz.002249,大洋电机,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,7.07,85.0,65.2,67.0,61.9,73.8,76.2,67.2,71.7,76.2,低估价值,深度低估,低估价值,"价值线=8.91, 现价/价值=0.79, 市值=169.7亿",-0.05984042553191482,0.22318339100346019,169.68000000000004,8.910847499999997,0.7934149922327817,,,,,,7.07,9.63,0.36209335219236216,0.40258167747606377
sz.000568,泸州老窖,C15酒、饮料和精制茶制造业,消费,PE,PE低估,125.47,98.5,98.5,40.0,36.9,82.4,76.1,48.2,62.2,76.1,低估价值,价值线内/历史低位,低估价值,"PE=13.69, 低估均值=22.19, 比值=0.62, 分位=5%",-0.0326883046796701,0.10245145417801593,,,,13.688724,22.1939747,0.6167765884674997,0.05020408163265306,,125.47,92.7,-0.2611779708296804,-0.2253065660647422
sh.603298,杭叉集团,C34通用设备制造业,C34通用设备制造业,VALUE,基本价值线,19.52,85.0,68.9,79.0,51.0,47.1,76.0,64.7,70.4,76.0,低估价值,深度低估,低估价值,"价值线=25.42, 现价/价值=0.77, 市值=255.2亿",-0.09124767225325892,0.020386826973340266,255.1542857142857,25.422123606557378,0.7678351463512283,,,,,,19.52,29.64,0.5184426229508197,0.5713011951558629
sz.300181,佐力药业,C27医药制造业,医药医疗,PE,PE低估,15.81,100.0,100.0,45.1,34.8,61.4,75.9,46.7,61.3,75.9,低估价值,价值线内/历史低位,低估价值,"PE=20.29, 低估均值=48.06, 比值=0.42, 分位=4%",-0.04239854633555429,0.06752194463200545,,,,20.290523,48.06083728571429,0.422184134649506,0.035510204081632656,,15.81,15.06,-0.04743833017077803,-0.012268162637822932
