bucket_set,sort,ptv_min,ptv_max,ret20_min,ret20_max,ret60_min,ret60_max,vol_min,vol_max,score_min,liq_min,sample,count,ret_count,mean_return,median_return,win_rate,min_return,max_return,names,codes
all,value,,,-0.2,0.2,,,,,70.0,60.0,train,20,18,1.7154372795295365,0.44934234731067935,0.7777777777777778,-0.3776825353147141,11.135201247611098,华策影视、长川科技、锦浪科技、新强联、捷佳伟创、阳光电源、新易盛、中科电气,"sz.300133,sz.300604,sz.300763,sz.300850,sz.300724,sz.300274,sz.300502,sz.300035"
all,value,,,-0.2,0.2,,,,,70.0,60.0,validate,20,20,0.11623251392162803,0.03747328335584825,0.5,-0.2249388753056235,0.8818736019291902,欧科亿、赢合科技、寒锐钴业、新强联、时代电气、华锐精密、当升科技、金山办公,"sh.688308,sz.300457,sz.300618,sz.300850,sh.688187,sh.688059,sz.300073,sh.688111"
all,value,,,-0.2,0.2,,,0.8,,,,train,20,19,1.0284267639906204,0.2067290200281777,0.7894736842105263,-0.1766004415011037,8.006598302796267,华策影视、长川科技、锦浪科技、新强联、英科医疗、捷佳伟创、阳光电源、新易盛,"sz.300133,sz.300604,sz.300763,sz.300850,sz.300677,sz.300724,sz.300274,sz.300502"
all,value,,,-0.2,0.2,,,0.8,,,,validate,14,14,0.3629488227407296,0.2970150585691812,0.7857142857142857,-0.1380441264162194,1.2831240868514202,佰维存储、麦捷科技、宇瞳光学、明阳电路、聚飞光电、华虹公司、铂科新材、华丰科技,"sh.688525,sz.300319,sz.300790,sz.300739,sz.300303,sh.688347,sz.300811,sh.688629"
all,value,,,-0.2,0.2,,,0.8,,,60.0,train,20,19,1.7826893288107186,0.4267942583732058,0.8421052631578947,-0.3776825353147141,11.135201247611098,华策影视、长川科技、锦浪科技、新强联、捷佳伟创、阳光电源、新易盛、中科电气,"sz.300133,sz.300604,sz.300763,sz.300850,sz.300724,sz.300274,sz.300502,sz.300035"
all,value,,,-0.2,0.2,,,0.8,,,60.0,validate,14,14,0.3629488227407296,0.2970150585691812,0.7857142857142857,-0.1380441264162194,1.2831240868514202,佰维存储、麦捷科技、宇瞳光学、明阳电路、聚飞光电、华虹公司、铂科新材、华丰科技,"sh.688525,sz.300319,sz.300790,sz.300739,sz.300303,sh.688347,sz.300811,sh.688629"
all,value,,,-0.2,0.2,,,0.8,,70.0,,train,20,19,1.4789184234222996,0.2307336015602865,0.8421052631578947,-0.3776825353147141,11.135201247611098,华策影视、长川科技、锦浪科技、新强联、英科医疗、捷佳伟创、阳光电源、新易盛,"sz.300133,sz.300604,sz.300763,sz.300850,sz.300677,sz.300724,sz.300274,sz.300502"
all,value,,,-0.2,0.2,,,0.8,,70.0,,validate,13,13,0.2921661101168303,0.2968943775617403,0.7692307692307693,-0.1380441264162194,0.8699078402564444,佰维存储、宇瞳光学、明阳电路、聚飞光电、华虹公司、铂科新材、华丰科技、芯碁微装,"sh.688525,sz.300790,sz.300739,sz.300303,sh.688347,sz.300811,sh.688629,sh.688630"
all,value,,,-0.2,0.2,,,0.8,,70.0,60.0,train,20,18,1.7154372795295365,0.44934234731067935,0.7777777777777778,-0.3776825353147141,11.135201247611098,华策影视、长川科技、锦浪科技、新强联、捷佳伟创、阳光电源、新易盛、中科电气,"sz.300133,sz.300604,sz.300763,sz.300850,sz.300724,sz.300274,sz.300502,sz.300035"
all,value,,,-0.2,0.2,,,0.8,,70.0,60.0,validate,13,13,0.2921661101168303,0.2968943775617403,0.7692307692307693,-0.1380441264162194,0.8699078402564444,佰维存储、宇瞳光学、明阳电路、聚飞光电、华虹公司、铂科新材、华丰科技、芯碁微装,"sh.688525,sz.300790,sz.300739,sz.300303,sh.688347,sz.300811,sh.688629,sh.688630"
