date,equity,cash,cash_pct,gross_exposure_pct,candidate_count
2025-03-25,0.8896877385827501,809167.7385827501,90.9496,7.96,10
2025-03-26,0.8895777385827501,809167.7385827501,90.9609,7.96,10
2025-03-27,0.8900837385827501,809167.7385827501,90.9092,7.96,10
2025-03-28,0.88955573858275,809167.7385827501,90.9631,7.96,10
2025-03-31,0.8891597385827501,809167.7385827501,91.0036,7.96,10
2025-04-01,0.8887197385827501,809167.7385827501,91.0487,7.96,10
2025-04-02,0.8887417385827501,809167.7385827501,91.0464,7.96,10
2025-04-03,0.88860973858275,809167.7385827501,91.06,7.96,10
2025-04-07,0.88070663457175,880706.6345717501,100.0,0.0,10
2025-04-08,0.8802783389117501,681794.3389117501,77.4521,19.88,10
2025-04-09,0.8692779506267502,673680.9506267501,77.4989,19.93,10
2025-04-10,0.8621612948867502,667616.2948867502,77.4352,19.45,10
2025-04-11,0.8679072948867501,667616.2948867502,76.9225,19.45,10
2025-04-14,0.8558569655317502,673930.9655317501,78.7434,18.27,10
2025-04-15,0.8597496998017501,677835.6998017501,78.8411,17.77,10
2025-04-16,0.8583696998017502,677835.6998017501,78.9678,17.77,10
2025-04-17,0.8585496998017501,677835.6998017501,78.9512,17.77,10
2025-04-18,0.8465454384517501,664421.4384517501,78.4862,19.07,10
2025-04-21,0.84509790567675,660759.90567675,78.1874,18.45,10
2025-04-22,0.84592049699175,654715.49699175,77.3968,19.02,10
2025-04-23,0.8367867886517499,648642.78865175,77.5159,19.58,10
2025-04-24,0.8353627761567499,644364.7761567499,77.1359,19.12,10
2025-04-25,0.83204667863675,643847.67863675,77.3812,19.12,10
2025-04-28,0.8299486277967499,640525.6277967499,77.1765,19.12,10
2025-04-29,0.83158404385175,638615.04385175,76.795,19.12,10
2025-04-30,0.8323310438517499,638615.04385175,76.7261,19.12,10
2025-05-06,0.82559627187175,648972.27187175,78.6065,17.92,10
2025-05-07,0.82229877663175,647130.77663175,78.6978,17.91,10
2025-05-08,0.8211494339417501,622645.4339417501,75.8261,19.97,10
2025-05-09,0.8189411558117501,619525.1558117501,75.6495,19.96,10
2025-05-12,0.8284331558117501,619525.1558117501,74.7828,19.96,10
2025-05-13,0.8257451558117501,619525.1558117501,75.0262,19.96,10
2025-05-14,0.8259131558117501,619525.1558117501,75.0109,19.96,10
2025-05-15,0.8227211558117501,619525.1558117501,75.302,19.96,10
2025-05-16,0.8233931558117501,619525.1558117501,75.2405,19.96,10
2025-05-19,0.8195291558117501,619525.1558117501,75.5953,19.96,10
2025-05-20,0.8197811558117502,619525.1558117501,75.572,19.96,10
2025-05-21,0.8202851558117501,619525.1558117501,75.5256,19.96,10
2025-05-22,0.8191931558117501,619525.1558117501,75.6263,19.96,10
2025-05-23,0.8121896947517501,618269.6947517501,76.1238,19.91,10
2025-05-26,0.81053948035175,610724.48035175,75.3479,19.94,10
2025-05-27,0.81298948035175,610724.48035175,75.1208,19.94,10
2025-05-28,0.81085448035175,610724.48035175,75.3186,19.94,10
2025-05-29,0.81029448035175,610724.48035175,75.3707,19.94,10
2025-05-30,0.8128844803517501,610724.48035175,75.1305,19.94,10
2025-06-03,0.81949948035175,610724.48035175,74.5241,19.94,10
2025-06-04,0.82282448035175,610724.48035175,74.2229,19.94,10
2025-06-05,0.81841448035175,610724.48035175,74.6229,19.94,10
2025-06-06,0.81669948035175,610724.48035175,74.7796,19.94,10
2025-06-09,0.81568448035175,610724.48035175,74.8726,19.94,10
2025-06-10,0.8170144803517501,610724.48035175,74.7508,19.94,10
2025-06-11,0.81718948035175,610724.48035175,74.7347,19.94,10
2025-06-12,0.81069277852675,621098.77852675,76.6133,19.11,10
2025-06-13,0.80448728461175,611847.28461175,76.0543,19.77,10
2025-06-16,0.7944988538267501,607604.8538267501,76.4765,19.5,10
2025-06-17,0.79327221606175,594580.2160617501,74.9529,19.85,10
2025-06-18,0.8027102160617501,594580.2160617501,74.0716,19.85,10
2025-06-19,0.8041662160617501,594580.2160617501,73.9375,19.85,10
2025-06-20,0.79862821606175,594580.2160617501,74.4502,19.85,10
2025-06-23,0.79355821606175,594580.2160617501,74.9258,19.85,10
2025-06-24,0.7924922160617501,594580.2160617501,75.0266,19.85,10
2025-06-25,0.7993562160617501,594580.2160617501,74.3824,19.85,10
2025-06-26,0.8112122160617501,594580.2160617501,73.2953,19.85,10
2025-06-27,0.8230422160617501,594580.2160617501,72.2418,19.85,10
2025-06-30,0.8312847869417501,532271.7869417501,64.03,26.07,10
2025-07-01,0.8317137869417501,532271.7869417501,63.997,26.07,10
2025-07-02,0.8264997869417501,532271.7869417501,64.4007,26.07,10
2025-07-03,0.8374887869417501,532271.7869417501,63.5557,26.07,10
2025-07-04,0.8344197869417501,532271.7869417501,63.7894,26.07,10
2025-07-07,0.8300307869417501,532271.7869417501,64.1268,26.07,10
